id;estado;idade;genero;avaliacao;escolaridade
1;SP;80;F;Ruim;Médio
2;SP;32;F;Ruim;Pós-graduação
3;MG;34;F;Péssimo;Superior
4;RJ;35;F;Péssimo;Superior
5;RJ;65;M;Ruim;Superior
6;RJ;38;M;Regular;Superior
7;SP;25;F;Bom;Pós-graduação
8;BA;49;M;Péssimo;Superior
9;MG;62;M;Ruim;Fundamental
10;AM;50;F;Regular;Pós-graduação
11;MG;54;M;Péssimo;Pós-graduação
12;SP;29;M;Péssimo;Pós-graduação
13;AM;64;F;Regular;Superior
14;RJ;37;F;Péssimo;Fundamental
15;RJ;41;F;Ótimo;Superior
16;SP;19;M;Ótimo;Pós-graduação
17;SP;57;M;Bom;Pós-graduação
18;RJ;28;M;Regular;Pós-graduação
19;BA;74;F;Regular;Médio
20;SP;53;M;Regular;Fundamental
21;SP;31;F;Péssimo;Médio
22;RJ;21;F;Ótimo;Médio
23;BA;61;F;Bom;Fundamental
24;SP;32;F;Regular;Superior
25;BA;71;F;Péssimo;Médio
26;SP;18;F;Regular;Pós-graduação
27;AM;24;M;Bom;Pós-graduação
28;MG;65;M;Regular;Pós-graduação
29;BA;27;M;Ruim;Superior
30;RJ;43;F;Regular;Médio
31;RJ;68;M;Bom;Fundamental
32;SP;67;M;Ruim;Superior
33;SP;28;M;Regular;Superior
34;SP;69;M;Péssimo;Médio
35;SP;79;M;Ruim;Pós-graduação
36;AM;25;F;Ótimo;Médio
37;MG;35;M;Péssimo;Superior
38;AM;58;F;Bom;Médio
39;SP;66;M;Ruim;Médio
40;SP;75;M;Ruim;Superior
41;RJ;21;F;Ruim;Pós-graduação
42;BA;67;F;Regular;Fundamental
43;BA;69;M;Regular;Médio
44;BA;54;F;Regular;Superior
45;RJ;66;F;Péssimo;Médio
46;AM;73;F;Ótimo;Fundamental
47;AM;22;F;Péssimo;Superior
48;AM;56;F;Regular;Médio
49;RJ;53;F;Regular;Pós-graduação
50;AM;75;F;Péssimo;Superior
51;SP;71;M;Ruim;Pós-graduação
52;MG;67;M;Ruim;Pós-graduação
53;BA;55;F;Ótimo;Médio
54;BA;46;F;Ruim;Pós-graduação
55;BA;24;F;Ótimo;Pós-graduação
56;SP;35;M;Regular;Fundamental
57;SP;24;F;Regular;Superior
58;MG;25;M;Ótimo;Superior
59;BA;65;F;Péssimo;Médio
