id_evento;cidade;tema;participantes;ano
1;Rio de Janeiro;Transporte;132;2021
2;Rio de Janeiro;Habitação;429;2023
3;Rio de Janeiro;Saúde;117;2023
4;Curitiba;Educação;413;2021
5;Brasília;Habitação;371;2022
6;São Paulo;Habitação;124;2021
7;Rio de Janeiro;Saúde;497;2023
8;São Paulo;Segurança;199;2024
9;Belo Horizonte;Saúde;227;2025
10;Rio de Janeiro;Educação;221;2021
11;Rio de Janeiro;Segurança;375;2021
12;Rio de Janeiro;Segurança;318;2021
13;Belo Horizonte;Saúde;455;2025
14;Brasília;Educação;466;2025
15;Brasília;Habitação;115;2023
16;Belo Horizonte;Educação;372;2023
17;São Paulo;Transporte;178;2025
18;Belo Horizonte;Saúde;311;2023
19;São Paulo;Educação;235;2021
20;Curitiba;Habitação;462;2024
21;Curitiba;Educação;289;2021
22;Belo Horizonte;Transporte;340;2023
23;São Paulo;Segurança;204;2022
24;Brasília;Transporte;351;2025
25;Belo Horizonte;Saúde;339;2022
26;Belo Horizonte;Saúde;270;2024
27;São Paulo;Educação;322;2025
28;São Paulo;Segurança;90;2025
29;Belo Horizonte;Saúde;496;2022
30;Brasília;Saúde;489;2024
31;Brasília;Transporte;320;2025
32;Brasília;Educação;220;2023
33;Curitiba;Saúde;175;2023
34;Brasília;Segurança;228;2025
35;Belo Horizonte;Habitação;204;2021
36;Rio de Janeiro;Transporte;177;2022
37;São Paulo;Educação;485;2022
38;São Paulo;Saúde;324;2025
39;São Paulo;Educação;113;2023
40;Brasília;Saúde;143;2025
41;Rio de Janeiro;Transporte;352;2022
42;Brasília;Habitação;406;2023
43;São Paulo;Habitação;185;2025
44;Belo Horizonte;Segurança;359;2022
45;São Paulo;Segurança;428;2025
46;Belo Horizonte;Segurança;140;2021
47;Curitiba;Saúde;295;2024
48;Rio de Janeiro;Segurança;68;2023
49;Belo Horizonte;Transporte;88;2025
50;Belo Horizonte;Educação;366;2023
51;Rio de Janeiro;Segurança;300;2024
52;Curitiba;Educação;159;2022
53;Rio de Janeiro;Segurança;324;2023
54;São Paulo;Transporte;210;2023
55;Rio de Janeiro;Segurança;380;2024
56;São Paulo;Transporte;156;2022
57;São Paulo;Educação;152;2024
58;São Paulo;Habitação;124;2025
59;Brasília;Saúde;388;2024
60;Belo Horizonte;Transporte;81;2022
61;Brasília;Transporte;138;2021
62;Rio de Janeiro;Transporte;123;2021
63;São Paulo;Educação;334;2022
64;Brasília;Segurança;213;2023
65;Brasília;Segurança;397;2025
66;Rio de Janeiro;Transporte;195;2025
67;São Paulo;Saúde;397;2021
68;São Paulo;Segurança;253;2025
69;São Paulo;Habitação;343;2021
70;Rio de Janeiro;Habitação;27;2025
71;São Paulo;Saúde;278;2021
72;Brasília;Habitação;419;2022
73;Curitiba;Transporte;410;2022
74;Curitiba;Transporte;342;2022
75;Brasília;Segurança;210;2022
76;São Paulo;Educação;286;2023
77;Brasília;Transporte;273;2024
78;Curitiba;Habitação;275;2023
79;Belo Horizonte;Educação;110;2024
80;Brasília;Habitação;384;2024
81;Curitiba;Saúde;190;2021
82;Belo Horizonte;Educação;151;2021
83;Curitiba;Habitação;429;2022
84;Curitiba;Habitação;372;2025
85;Brasília;Transporte;31;2025
86;Brasília;Transporte;332;2024
87;Rio de Janeiro;Transporte;51;2022
88;Curitiba;Transporte;166;2022
89;Curitiba;Habitação;365;2023
90;Belo Horizonte;Transporte;321;2025
91;Belo Horizonte;Habitação;181;2022
92;Belo Horizonte;Segurança;252;2024
93;Rio de Janeiro;Transporte;54;2023
94;Curitiba;Habitação;238;2022
95;São Paulo;Segurança;161;2025
96;Rio de Janeiro;Habitação;175;2022
97;Brasília;Transporte;184;2023
98;São Paulo;Habitação;429;2022
99;Belo Horizonte;Saúde;244;2021
100;Belo Horizonte;Habitação;272;2021
101;Curitiba;Transporte;100;2025
102;São Paulo;Saúde;103;2025
103;Curitiba;Educação;78;2022
104;Curitiba;Educação;378;2021
105;Brasília;Segurança;94;2023
106;Curitiba;Educação;46;2023
107;São Paulo;Educação;205;2021
108;São Paulo;Segurança;293;2021
109;Rio de Janeiro;Segurança;205;2025
110;Rio de Janeiro;Educação;349;2022
