id,candidato,partido,idade,cidade,propostas,votos_estimados,ano_eleicao
1,Candidato_1,Partido C,41,Salvador,Segurança,18611,2024
2,Candidato_2,Partido D,33,Manaus,Educação,40105,2024
3,Candidato_3,Partido A,57,Salvador,Segurança,12944,2022
4,Candidato_4,Partido C,44,Salvador,Economia,16906,2024
5,Candidato_5,Partido C,37,Rio de Janeiro,Infraestrutura,21536,2020
6,Candidato_6,Partido D,52,Brasília,Meio Ambiente,28810,2022
7,Candidato_7,Partido A,53,São Paulo,Segurança,13306,2018
8,Candidato_8,Partido A,37,Fortaleza,Infraestrutura,11503,2018
9,Candidato_9,Partido C,59,Brasília,Infraestrutura,20225,2018
10,Candidato_10,Partido B,30,Fortaleza,Saúde,37976,2022
11,Candidato_11,Partido C,42,Rio de Janeiro,Segurança,12590,2020
12,Candidato_12,Partido C,29,Rio de Janeiro,Meio Ambiente,11886,2024
13,Candidato_13,Partido C,49,Rio de Janeiro,Segurança,13866,2024
14,Candidato_14,Partido C,26,Manaus,Infraestrutura,2088,2018
15,Candidato_15,Partido D,34,Fortaleza,Meio Ambiente,4363,2018
16,Candidato_16,Partido A,54,Brasília,Economia,33792,2022
17,Candidato_17,Partido D,69,Brasília,Saúde,10764,2020
18,Candidato_18,Partido D,29,Salvador,Infraestrutura,21620,2024
19,Candidato_19,Partido D,57,Salvador,Educação,43727,2022
20,Candidato_20,Partido C,25,Salvador,Educação,13935,2024
21,Candidato_21,Partido B,42,Rio de Janeiro,Saúde,9068,2018
22,Candidato_22,Partido A,56,Brasília,Economia,8295,2024
23,Candidato_23,Partido B,35,Fortaleza,Infraestrutura,42160,2020
24,Candidato_24,Partido D,45,Rio de Janeiro,Segurança,12390,2020
25,Candidato_25,Partido D,50,Manaus,Saúde,42216,2018
26,Candidato_26,Partido B,49,Salvador,Economia,21131,2020
27,Candidato_27,Partido B,46,Rio de Janeiro,Segurança,30218,2020
28,Candidato_28,Partido B,51,Rio de Janeiro,Educação,11433,2022
29,Candidato_29,Partido D,37,Manaus,Educação,16038,2024
30,Candidato_30,Partido D,57,São Paulo,Segurança,29182,2018
31,Candidato_31,Partido A,58,Brasília,Saúde,12528,2018
32,Candidato_32,Partido A,65,Fortaleza,Educação,22281,2018
