id;cidade;idade;genero;candidato;renda
1;Fortaleza;27;F;Candidato C;Média
2;Recife;24;F;Candidato B;Alta
3;Manaus;32;F;Candidato C;Baixa
4;Belém;50;F;Candidato B;Média
5;Manaus;20;M;Candidato C;Média
6;Recife;78;F;Candidato C;Média
7;Fortaleza;74;M;Candidato B;Baixa
8;Salvador;37;M;Candidato B;Média
9;Fortaleza;70;F;Candidato A;Média
10;Salvador;80;M;Candidato C;Média
11;Salvador;41;F;Candidato C;Alta
12;Fortaleza;28;F;Candidato A;Média
13;Fortaleza;34;M;Candidato A;Média
14;Fortaleza;31;M;Candidato A;Alta
15;Belém;61;F;Candidato A;Alta
16;Salvador;32;F;Candidato B;Média
17;Fortaleza;67;F;Candidato C;Média
18;Salvador;73;M;Candidato A;Baixa
19;Fortaleza;56;M;Candidato B;Baixa
20;Manaus;37;M;Candidato C;Baixa
21;Salvador;75;M;Candidato C;Alta
22;Manaus;64;M;Candidato A;Alta
23;Belém;41;F;Candidato C;Baixa
24;Recife;37;F;Candidato A;Média
25;Belém;19;F;Candidato A;Alta
26;Belém;40;F;Candidato C;Alta
27;Salvador;41;M;Candidato B;Baixa
28;Manaus;67;F;Candidato B;Alta
29;Recife;46;F;Candidato A;Baixa
30;Recife;62;F;Candidato A;Baixa
31;Salvador;43;M;Candidato B;Média
32;Manaus;60;M;Candidato C;Baixa
33;Manaus;34;M;Candidato A;Alta
34;Recife;68;F;Candidato A;Baixa
35;Fortaleza;21;F;Candidato B;Média
36;Manaus;52;F;Candidato A;Alta
37;Fortaleza;22;F;Candidato A;Média
38;Manaus;26;F;Candidato B;Média
39;Manaus;17;F;Candidato B;Alta
40;Salvador;66;M;Candidato C;Baixa
41;Belém;28;M;Candidato A;Média
42;Manaus;68;M;Candidato C;Baixa
43;Recife;24;M;Candidato A;Média
44;Fortaleza;41;F;Candidato C;Média
45;Recife;45;F;Candidato A;Média
46;Salvador;18;M;Candidato C;Média
47;Fortaleza;68;M;Candidato B;Alta
48;Fortaleza;16;M;Candidato C;Alta
49;Salvador;64;M;Candidato A;Baixa
50;Fortaleza;20;F;Candidato A;Baixa
51;Recife;51;F;Candidato C;Baixa
52;Recife;19;M;Candidato C;Baixa
53;Manaus;33;F;Candidato A;Alta
54;Recife;75;M;Candidato C;Baixa
55;Manaus;70;F;Candidato C;Média
56;Manaus;67;M;Candidato B;Baixa
57;Salvador;65;F;Candidato C;Alta
58;Recife;19;F;Candidato B;Baixa
59;Salvador;55;F;Candidato A;Média
60;Manaus;38;M;Candidato A;Média
61;Belém;27;M;Candidato B;Alta
62;Belém;28;F;Candidato B;Alta
63;Manaus;52;M;Candidato A;Baixa
64;Salvador;41;M;Candidato B;Alta
65;Salvador;62;M;Candidato A;Média
66;Fortaleza;31;M;Candidato A;Média
67;Salvador;44;M;Candidato A;Média
68;Manaus;27;F;Candidato B;Baixa
69;Belém;28;F;Candidato A;Baixa
70;Salvador;57;F;Candidato A;Baixa
71;Fortaleza;34;M;Candidato B;Baixa
72;Fortaleza;45;F;Candidato A;Alta
73;Salvador;53;F;Candidato A;Média
74;Belém;22;F;Candidato C;Alta
75;Recife;33;M;Candidato B;Baixa
76;Manaus;35;M;Candidato C;Alta
77;Manaus;38;M;Candidato C;Baixa
78;Belém;42;F;Candidato B;Média
79;Salvador;80;M;Candidato A;Baixa
80;Recife;35;F;Candidato B;Alta
81;Salvador;22;M;Candidato A;Alta
82;Recife;39;M;Candidato B;Média
83;Fortaleza;53;F;Candidato A;Baixa
84;Fortaleza;47;F;Candidato C;Baixa
85;Salvador;43;M;Candidato C;Média
86;Belém;43;M;Candidato A;Baixa
87;Manaus;78;F;Candidato B;Baixa
88;Fortaleza;29;F;Candidato B;Alta
89;Fortaleza;73;F;Candidato B;Média
90;Salvador;70;M;Candidato B;Média
91;Fortaleza;23;M;Candidato A;Média
92;Recife;75;F;Candidato A;Alta
93;Manaus;61;M;Candidato B;Baixa
94;Fortaleza;53;F;Candidato C;Alta
95;Recife;57;F;Candidato B;Média
96;Recife;50;F;Candidato A;Média
97;Salvador;21;F;Candidato A;Baixa
98;Fortaleza;40;F;Candidato B;Baixa
99;Belém;65;M;Candidato B;Média
100;Recife;77;M;Candidato A;Média
101;Manaus;54;M;Candidato B;Média
102;Belém;39;F;Candidato B;Média
103;Salvador;60;M;Candidato A;Alta
104;Fortaleza;51;F;Candidato C;Alta
105;Manaus;25;M;Candidato B;Alta
106;Manaus;53;M;Candidato B;Baixa
107;Belém;69;F;Candidato A;Média
108;Belém;18;F;Candidato C;Baixa
109;Manaus;59;F;Candidato C;Média
110;Manaus;60;M;Candidato C;Baixa
111;Recife;34;M;Candidato B;Baixa
112;Belém;35;F;Candidato A;Média
113;Recife;40;M;Candidato C;Alta
114;Fortaleza;62;M;Candidato B;Média
115;Manaus;34;M;Candidato B;Média
116;Salvador;67;F;Candidato A;Alta
117;Salvador;37;F;Candidato A;Alta
118;Fortaleza;25;F;Candidato B;Alta
119;Fortaleza;37;M;Candidato A;Alta
120;Manaus;36;F;Candidato B;Média
121;Salvador;53;M;Candidato B;Baixa
122;Recife;76;F;Candidato C;Baixa
123;Manaus;28;M;Candidato A;Baixa
124;Recife;73;M;Candidato A;Média
125;Fortaleza;42;M;Candidato B;Alta
126;Recife;44;F;Candidato C;Baixa
127;Recife;74;M;Candidato B;Baixa
128;Recife;25;F;Candidato B;Alta
129;Fortaleza;27;M;Candidato B;Alta
130;Salvador;50;F;Candidato A;Baixa
131;Manaus;60;M;Candidato C;Alta
132;Fortaleza;33;M;Candidato A;Alta
133;Salvador;65;F;Candidato C;Média
134;Belém;36;M;Candidato B;Baixa
135;Fortaleza;22;M;Candidato B;Baixa
136;Recife;79;F;Candidato B;Alta
137;Manaus;26;M;Candidato C;Média
138;Manaus;36;M;Candidato A;Média
139;Manaus;74;M;Candidato B;Baixa
140;Belém;49;F;Candidato C;Baixa
141;Fortaleza;57;F;Candidato C;Média
142;Recife;61;M;Candidato B;Baixa
143;Fortaleza;59;M;Candidato B;Alta
144;Belém;66;M;Candidato C;Baixa
145;Salvador;53;M;Candidato C;Média
146;Manaus;29;F;Candidato A;Alta
147;Manaus;65;M;Candidato B;Média
148;Fortaleza;61;F;Candidato C;Baixa
149;Fortaleza;55;M;Candidato B;Alta
150;Manaus;27;M;Candidato C;Média
151;Recife;77;M;Candidato A;Média
152;Manaus;51;F;Candidato A;Alta
153;Fortaleza;57;F;Candidato C;Baixa
154;Salvador;34;F;Candidato A;Média
155;Belém;61;M;Candidato B;Alta
156;Manaus;61;F;Candidato C;Baixa
157;Manaus;30;M;Candidato A;Média
158;Fortaleza;65;F;Candidato B;Baixa
159;Salvador;77;M;Candidato C;Baixa
160;Manaus;58;M;Candidato B;Baixa
161;Belém;51;M;Candidato A;Alta
162;Fortaleza;50;M;Candidato A;Baixa
163;Recife;30;M;Candidato B;Baixa
164;Belém;40;F;Candidato C;Média
165;Salvador;49;M;Candidato B;Baixa
166;Salvador;57;F;Candidato B;Média
167;Belém;42;F;Candidato B;Média
168;Salvador;68;M;Candidato A;Média
169;Recife;37;M;Candidato A;Alta
170;Recife;68;M;Candidato A;Baixa
171;Fortaleza;61;M;Candidato B;Média
172;Belém;43;F;Candidato B;Baixa
173;Recife;79;F;Candidato B;Baixa
174;Salvador;70;M;Candidato B;Média
175;Recife;60;M;Candidato A;Média
176;Recife;46;M;Candidato B;Média
177;Salvador;72;F;Candidato A;Média
178;Recife;51;F;Candidato B;Média
179;Salvador;71;M;Candidato C;Alta
180;Salvador;33;F;Candidato A;Alta
181;Belém;78;F;Candidato A;Média
182;Fortaleza;22;M;Candidato C;Alta
183;Salvador;51;F;Candidato A;Alta
184;Salvador;40;M;Candidato A;Alta
185;Fortaleza;22;F;Candidato B;Alta
186;Manaus;67;M;Candidato C;Média
187;Salvador;39;M;Candidato A;Média
188;Fortaleza;39;M;Candidato C;Média
189;Manaus;67;F;Candidato C;Alta
190;Belém;56;F;Candidato C;Média
191;Belém;48;M;Candidato A;Alta
192;Fortaleza;76;F;Candidato C;Baixa
193;Recife;35;F;Candidato B;Baixa
194;Salvador;77;F;Candidato B;Alta
195;Fortaleza;62;F;Candidato C;Alta
196;Belém;37;M;Candidato B;Alta
197;Recife;33;F;Candidato B;Baixa
198;Salvador;25;M;Candidato C;Média
199;Salvador;24;F;Candidato C;Baixa
200;Recife;35;M;Candidato B;Alta
201;Manaus;76;M;Candidato A;Alta
202;Manaus;34;F;Candidato C;Baixa
203;Recife;56;M;Candidato C;Média
204;Fortaleza;36;F;Candidato C;Média
205;Fortaleza;63;F;Candidato C;Alta
206;Fortaleza;50;F;Candidato A;Alta
207;Salvador;16;M;Candidato C;Baixa
208;Recife;68;F;Candidato C;Alta
209;Manaus;73;F;Candidato C;Baixa
210;Recife;23;M;Candidato B;Alta
211;Fortaleza;45;M;Candidato C;Alta
212;Fortaleza;68;F;Candidato B;Alta
213;Belém;23;F;Candidato A;Alta
214;Fortaleza;69;M;Candidato B;Média
215;Belém;61;F;Candidato A;Baixa
216;Salvador;66;F;Candidato A;Média
217;Recife;59;F;Candidato B;Baixa
218;Manaus;37;M;Candidato A;Alta
219;Recife;55;M;Candidato A;Alta
220;Manaus;24;M;Candidato A;Baixa
221;Salvador;76;M;Candidato C;Alta
222;Fortaleza;17;F;Candidato C;Alta
223;Manaus;37;F;Candidato A;Baixa
224;Belém;17;F;Candidato C;Média
225;Manaus;35;M;Candidato A;Baixa
226;Belém;29;M;Candidato A;Alta
227;Belém;33;M;Candidato C;Baixa
228;Salvador;76;F;Candidato B;Média
229;Belém;65;M;Candidato A;Alta
230;Fortaleza;74;M;Candidato B;Baixa
231;Manaus;66;M;Candidato A;Baixa
232;Recife;26;F;Candidato A;Média
233;Manaus;62;F;Candidato A;Alta
234;Belém;71;F;Candidato B;Média
235;Manaus;25;F;Candidato B;Alta
236;Manaus;24;F;Candidato A;Alta
