id;partido;candidato;valor_gasto;tipo_gasto;estado
1;PSDB;Cand_2;498237.51;Eventos;RJ
2;PSOL;Cand_18;473906.57;Eventos;SP
3;PSOL;Cand_10;270540.29;Propaganda;MG
4;MDB;Cand_3;409351.88;Redes Sociais;MG
5;PSDB;Cand_14;38746.43;Eventos;BA
6;PSDB;Cand_10;311168.77;Propaganda;SP
7;PSDB;Cand_15;237305.38;Pesquisa;MG
8;PL;Cand_15;205474.78;Pesquisa;BA
9;PSDB;Cand_2;283278.85;Logística;RJ
10;PL;Cand_3;428882.54;Eventos;MG
11;PSDB;Cand_3;404955.04;Logística;SP
12;PL;Cand_7;345257.84;Eventos;SP
13;MDB;Cand_9;69886.73;Eventos;MG
14;PSOL;Cand_13;173329.91;Logística;BA
15;PL;Cand_19;155661.33;Logística;RJ
16;PSDB;Cand_8;494423.62;Eventos;SP
17;PT;Cand_3;397518.19;Eventos;BA
18;PT;Cand_16;403196.82;Eventos;MG
19;PSOL;Cand_9;230952.47;Propaganda;SP
20;PL;Cand_20;124284.77;Logística;SP
21;MDB;Cand_20;92864.85;Redes Sociais;BA
22;PT;Cand_7;180376.56;Logística;BA
23;PT;Cand_6;173980.98;Redes Sociais;BA
24;PSOL;Cand_19;489969.64;Propaganda;SP
25;PSDB;Cand_2;133325.25;Eventos;SP
26;PSDB;Cand_15;226029.73;Redes Sociais;BA
27;PT;Cand_3;114058.38;Logística;RJ
28;PL;Cand_9;158687.09;Eventos;SP
29;PL;Cand_6;397793.86;Redes Sociais;RJ
30;PSDB;Cand_10;273699.57;Pesquisa;RJ
31;PSOL;Cand_10;376802.95;Pesquisa;RJ
32;PT;Cand_2;92383.4;Propaganda;RJ
33;PSOL;Cand_2;91286.31;Logística;MG
34;PL;Cand_1;111787.94;Propaganda;RJ
35;PL;Cand_3;439004.86;Logística;AM
36;PL;Cand_1;423031.31;Logística;BA
37;PT;Cand_5;92726.44;Eventos;MG
38;PSDB;Cand_5;21764.84;Eventos;SP
39;PT;Cand_15;82940.13;Logística;BA
40;PL;Cand_8;154845.89;Eventos;MG
41;PSOL;Cand_8;281773.45;Pesquisa;RJ
42;PSDB;Cand_5;488148.59;Logística;RJ
43;PL;Cand_2;434121.26;Logística;SP
44;MDB;Cand_11;67307.86;Eventos;BA
45;PL;Cand_20;390816.42;Logística;AM
46;PT;Cand_20;460795.43;Propaganda;RJ
47;PSOL;Cand_20;228914.39;Propaganda;SP
48;MDB;Cand_19;480018.93;Logística;SP
49;PT;Cand_9;433218.33;Pesquisa;MG
50;MDB;Cand_13;366754.78;Pesquisa;RJ
51;MDB;Cand_15;388140.42;Pesquisa;BA
52;MDB;Cand_18;465213.35;Logística;MG
53;PL;Cand_7;263175.25;Logística;RJ
54;PSOL;Cand_17;181649.89;Eventos;SP
55;MDB;Cand_6;353683.53;Logística;RJ
56;MDB;Cand_19;32141.38;Pesquisa;AM
57;PSOL;Cand_12;307275.67;Pesquisa;BA
58;PSDB;Cand_6;180136.77;Propaganda;SP
59;MDB;Cand_7;183641.65;Logística;RJ
60;PSDB;Cand_11;459895.94;Propaganda;SP
61;MDB;Cand_6;167345.13;Pesquisa;MG
62;PT;Cand_5;114344.49;Propaganda;AM
63;PSOL;Cand_19;45624.32;Pesquisa;RJ
64;PL;Cand_2;86107.13;Pesquisa;BA
65;MDB;Cand_11;13307.18;Eventos;RJ
66;PT;Cand_16;130178.66;Eventos;BA
67;PSDB;Cand_20;368813.52;Propaganda;AM
68;PL;Cand_12;304367.5;Redes Sociais;BA
69;PL;Cand_8;127570.21;Redes Sociais;MG
70;PT;Cand_17;189424.85;Propaganda;SP
71;PSDB;Cand_3;454374.35;Redes Sociais;BA
72;PL;Cand_2;474752.84;Propaganda;MG
73;PT;Cand_6;203321.41;Pesquisa;MG
74;PSDB;Cand_9;316023.48;Pesquisa;SP
75;PL;Cand_18;158543.56;Eventos;AM
76;PL;Cand_11;316716.54;Propaganda;AM
77;PSOL;Cand_13;328211.06;Redes Sociais;AM
78;MDB;Cand_5;299250.63;Pesquisa;AM
79;PSOL;Cand_15;61276.66;Logística;BA
80;PSDB;Cand_20;37230.65;Logística;BA
81;PSDB;Cand_19;116592.08;Propaganda;BA
82;MDB;Cand_19;84166.12;Pesquisa;AM
83;PT;Cand_13;15884.0;Logística;RJ
84;PL;Cand_5;466537.91;Logística;BA
85;PT;Cand_9;213347.44;Propaganda;AM
86;MDB;Cand_18;159258.31;Propaganda;RJ
87;PT;Cand_16;73580.73;Eventos;AM
88;PSDB;Cand_4;459293.46;Eventos;MG
89;PT;Cand_11;118206.6;Pesquisa;SP
90;PSDB;Cand_5;463553.46;Propaganda;BA
91;PSDB;Cand_5;434794.09;Eventos;MG
92;PSOL;Cand_16;15178.78;Pesquisa;RJ
93;PL;Cand_1;401083.43;Eventos;RJ
94;PL;Cand_19;289683.99;Logística;AM
95;PT;Cand_12;473065.12;Logística;MG
96;MDB;Cand_11;381514.47;Redes Sociais;MG
97;PL;Cand_19;66964.04;Redes Sociais;MG
98;PT;Cand_19;109246.34;Propaganda;MG
99;PSDB;Cand_10;354597.66;Redes Sociais;SP
100;PSOL;Cand_20;428749.87;Redes Sociais;RJ
101;PSOL;Cand_13;350493.95;Logística;SP
102;PL;Cand_8;249995.9;Redes Sociais;RJ
103;PT;Cand_18;399697.92;Eventos;SP
104;MDB;Cand_1;84590.78;Propaganda;BA
105;MDB;Cand_12;153945.77;Propaganda;RJ
106;PT;Cand_5;482185.21;Propaganda;RJ
107;PSDB;Cand_7;336012.88;Redes Sociais;AM
108;PL;Cand_20;66466.73;Pesquisa;RJ
109;MDB;Cand_10;405460.58;Logística;RJ
110;PSOL;Cand_9;200504.73;Logística;RJ
111;PT;Cand_5;260755.41;Propaganda;AM
112;PL;Cand_20;405102.64;Eventos;AM
113;PSDB;Cand_1;138934.01;Eventos;MG
114;PSOL;Cand_11;322187.99;Redes Sociais;MG
115;PSDB;Cand_20;335172.32;Logística;RJ
116;PT;Cand_1;459836.49;Pesquisa;AM
117;PSDB;Cand_15;60505.15;Logística;RJ
118;MDB;Cand_14;377535.45;Propaganda;MG
119;MDB;Cand_16;466931.63;Pesquisa;SP
120;PT;Cand_12;64693.12;Redes Sociais;RJ
121;PSOL;Cand_3;422602.44;Redes Sociais;SP
122;PSDB;Cand_9;116983.49;Redes Sociais;RJ
123;PSDB;Cand_7;411656.17;Logística;MG
124;MDB;Cand_13;259877.59;Propaganda;SP
125;PSDB;Cand_18;195956.16;Eventos;AM
126;PSOL;Cand_11;260055.83;Eventos;SP
127;PSOL;Cand_14;85498.19;Eventos;AM
128;PSOL;Cand_15;469906.47;Redes Sociais;MG
129;PSOL;Cand_8;329161.68;Propaganda;MG
130;PT;Cand_3;17043.9;Logística;AM
131;MDB;Cand_14;291672.9;Eventos;SP
132;PL;Cand_18;304535.82;Logística;RJ
133;PSOL;Cand_1;133843.27;Propaganda;AM
134;PSDB;Cand_5;217257.74;Pesquisa;SP
135;PL;Cand_18;488068.13;Eventos;MG
136;PL;Cand_6;23123.63;Redes Sociais;MG
137;MDB;Cand_8;77924.72;Redes Sociais;RJ
138;MDB;Cand_4;96893.87;Pesquisa;AM
139;PT;Cand_14;473849.67;Propaganda;SP
140;MDB;Cand_12;156867.26;Redes Sociais;MG
141;PT;Cand_8;153052.64;Pesquisa;SP
142;PL;Cand_4;108181.76;Propaganda;SP
143;PT;Cand_5;195639.96;Pesquisa;SP
144;MDB;Cand_13;327216.67;Pesquisa;AM
145;PSOL;Cand_10;104994.08;Propaganda;RJ
146;PSDB;Cand_12;247096.26;Logística;AM
147;MDB;Cand_2;398114.49;Logística;BA
148;PSOL;Cand_5;95771.71;Pesquisa;BA
149;PL;Cand_5;96977.09;Logística;MG
150;PL;Cand_5;454029.23;Logística;RJ
151;PSDB;Cand_15;300735.78;Propaganda;BA
152;PT;Cand_2;63166.85;Logística;BA
153;PL;Cand_17;205529.27;Logística;RJ
154;PT;Cand_4;487491.76;Logística;MG
155;PT;Cand_1;472682.51;Logística;BA
156;PL;Cand_14;324797.98;Logística;BA
157;PT;Cand_10;186038.84;Logística;SP
158;MDB;Cand_9;47448.92;Pesquisa;SP
159;PT;Cand_16;112499.11;Propaganda;AM
160;MDB;Cand_14;416663.6;Logística;SP
161;PT;Cand_17;14103.17;Propaganda;RJ
162;PT;Cand_17;386714.24;Eventos;SP
163;PT;Cand_12;353249.79;Propaganda;AM
164;PSOL;Cand_10;359975.8;Logística;SP
165;PSOL;Cand_7;463408.16;Redes Sociais;AM
166;MDB;Cand_17;173041.81;Redes Sociais;SP
167;PL;Cand_9;156395.17;Propaganda;MG
168;PL;Cand_11;86551.82;Pesquisa;AM
169;PSDB;Cand_18;457423.33;Logística;BA
170;PSDB;Cand_9;452964.45;Propaganda;AM
171;MDB;Cand_8;115625.76;Pesquisa;BA
172;PSDB;Cand_6;208068.65;Redes Sociais;MG
173;PSDB;Cand_14;495203.11;Redes Sociais;RJ
174;PL;Cand_3;288253.0;Eventos;RJ
175;PL;Cand_4;201550.05;Redes Sociais;RJ
176;PSDB;Cand_18;380014.23;Pesquisa;RJ
177;PSDB;Cand_1;376042.73;Logística;AM
178;PT;Cand_11;473114.54;Eventos;AM
179;PT;Cand_1;230755.43;Redes Sociais;BA
180;PL;Cand_5;184561.17;Logística;SP
181;PT;Cand_14;419804.99;Logística;SP
182;PL;Cand_12;30243.22;Redes Sociais;BA
183;PSDB;Cand_18;221185.98;Logística;RJ
184;PT;Cand_2;231852.75;Logística;BA
185;PL;Cand_12;400362.97;Eventos;AM
186;PSOL;Cand_12;213818.88;Pesquisa;RJ
187;PL;Cand_19;268665.65;Eventos;AM
188;PL;Cand_9;85270.25;Eventos;SP
189;MDB;Cand_20;389380.87;Redes Sociais;SP
190;MDB;Cand_11;340892.84;Logística;BA
191;MDB;Cand_9;351617.94;Redes Sociais;RJ
192;PT;Cand_17;407893.02;Redes Sociais;BA
193;MDB;Cand_1;271106.09;Logística;BA
194;PL;Cand_2;436724.73;Eventos;AM
195;PSOL;Cand_8;327777.0;Redes Sociais;BA
196;PT;Cand_6;497552.92;Eventos;RJ
197;PL;Cand_13;264719.46;Logística;RJ
198;PSDB;Cand_5;377316.98;Pesquisa;MG
199;PT;Cand_11;267018.05;Propaganda;BA
200;PSOL;Cand_20;67007.36;Pesquisa;BA
201;MDB;Cand_3;87974.78;Eventos;SP
202;PSOL;Cand_20;240281.75;Eventos;RJ
203;PSOL;Cand_15;110938.69;Propaganda;MG
204;PT;Cand_1;266852.62;Redes Sociais;SP
205;PL;Cand_9;237327.75;Logística;RJ
206;MDB;Cand_15;347680.09;Logística;AM
207;PSOL;Cand_5;483095.13;Logística;SP
208;MDB;Cand_8;346761.32;Eventos;BA
209;PSDB;Cand_6;418213.79;Pesquisa;SP
210;MDB;Cand_16;143466.2;Eventos;SP
211;PL;Cand_5;462289.7;Pesquisa;RJ
212;MDB;Cand_16;444519.28;Propaganda;RJ
213;PSDB;Cand_2;132199.32;Propaganda;MG
214;PSDB;Cand_2;461835.99;Pesquisa;SP
215;PT;Cand_14;101469.97;Eventos;MG
216;PT;Cand_8;233315.39;Logística;BA
217;PSOL;Cand_13;233961.62;Pesquisa;AM
218;PT;Cand_17;299347.15;Redes Sociais;SP
219;PSOL;Cand_14;431493.63;Propaganda;BA
220;MDB;Cand_4;474232.75;Propaganda;RJ
