id_deputado;nome;partido;estado;presencas;faltas;ano
34;Dep_24;PSOL;RJ;22;11;2025
23;Dep_43;PT;SP;71;36;2024
2;Dep_43;PSOL;BA;3;24;2023
16;Dep_41;MDB;SP;70;7;2024
13;Dep_13;PT;SP;3;44;2024
30;Dep_38;PT;RJ;36;9;2023
42;Dep_16;PSOL;RJ;71;0;2025
50;Dep_14;PSDB;BA;32;27;2022
3;Dep_43;PL;AM;19;7;2025
15;Dep_50;MDB;AM;89;22;2025
43;Dep_32;PSDB;SP;6;22;2024
48;Dep_25;PT;MG;43;5;2022
47;Dep_29;PSOL;MG;22;45;2022
38;Dep_10;PSOL;SP;64;12;2022
47;Dep_44;MDB;RJ;5;31;2022
47;Dep_1;PL;MG;99;17;2025
19;Dep_13;PSOL;SP;87;42;2023
47;Dep_1;PT;MG;65;31;2023
25;Dep_32;PL;RJ;75;39;2022
12;Dep_25;MDB;AM;36;7;2022
25;Dep_16;PSDB;RJ;87;36;2022
30;Dep_17;PSOL;MG;62;0;2023
20;Dep_10;MDB;SP;57;5;2023
9;Dep_38;PL;MG;23;45;2022
1;Dep_14;PT;SP;16;0;2025
40;Dep_12;MDB;BA;95;33;2022
7;Dep_9;PL;BA;14;10;2022
19;Dep_27;PSDB;RJ;59;42;2022
6;Dep_4;PSOL;RJ;2;21;2022
19;Dep_36;PSDB;RJ;21;46;2025
41;Dep_42;MDB;AM;39;38;2023
10;Dep_3;PT;SP;82;50;2023
33;Dep_35;PSDB;SP;41;35;2025
38;Dep_38;PSOL;SP;3;1;2025
2;Dep_29;PSDB;RJ;73;17;2024
26;Dep_1;PSDB;RJ;22;24;2025
38;Dep_39;PSOL;AM;16;31;2024
39;Dep_46;PT;AM;58;25;2025
32;Dep_42;PSOL;SP;7;17;2025
2;Dep_15;PSDB;BA;20;20;2023
28;Dep_18;PT;MG;77;29;2023
36;Dep_16;PL;RJ;77;40;2025
34;Dep_50;MDB;RJ;38;26;2022
20;Dep_2;PT;BA;97;2;2023
13;Dep_43;PSDB;SP;38;29;2022
2;Dep_10;PSDB;BA;8;15;2022
47;Dep_26;PT;AM;73;16;2022
31;Dep_46;PL;MG;57;40;2024
35;Dep_11;MDB;AM;99;28;2022
34;Dep_23;PL;AM;91;12;2022
24;Dep_22;PT;BA;46;27;2022
49;Dep_37;PSOL;RJ;16;6;2023
11;Dep_29;PSOL;RJ;67;5;2024
49;Dep_24;PL;MG;42;11;2022
31;Dep_18;PSDB;MG;45;3;2025
35;Dep_15;PL;BA;54;4;2025
28;Dep_10;MDB;AM;16;28;2025
26;Dep_47;PL;SP;93;36;2022
38;Dep_7;PT;BA;52;36;2024
12;Dep_37;PL;AM;34;29;2025
7;Dep_8;PSDB;SP;60;44;2024
21;Dep_34;MDB;AM;55;5;2023
30;Dep_33;MDB;SP;34;24;2024
2;Dep_37;PSOL;RJ;31;22;2025
46;Dep_13;PT;SP;100;47;2023
19;Dep_22;PSDB;AM;32;19;2024
49;Dep_4;PT;SP;58;29;2022
9;Dep_15;PL;RJ;16;14;2023
33;Dep_44;PSOL;BA;95;0;2024
25;Dep_19;PSDB;SP;52;5;2025
16;Dep_18;PT;RJ;26;2;2022
11;Dep_50;PL;RJ;68;47;2024
28;Dep_5;PL;SP;89;49;2023
8;Dep_7;PT;RJ;49;42;2024
23;Dep_16;PSDB;AM;21;19;2024
29;Dep_37;PSOL;RJ;66;17;2022
41;Dep_12;PSOL;SP;13;43;2023
21;Dep_49;MDB;MG;82;36;2023
20;Dep_29;MDB;BA;41;9;2024
32;Dep_20;PT;RJ;89;10;2025
42;Dep_36;MDB;RJ;97;29;2022
16;Dep_35;PSDB;AM;18;48;2025
14;Dep_3;PSDB;RJ;55;15;2025
